"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","review_profilename","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",302,"Genesee Brewing Co. / Dundee Brewing Co.",1304346608,4,3,4,"chaunur","Kölsch",3.5,4,"Dundee Kolsch Style Ale",5.7,57017
"2",302,"Genesee Brewing Co. / Dundee Brewing Co.",1301984140,3.5,3,3,"Looneybiz","Kölsch",3.5,4,"Dundee Kolsch Style Ale",5.7,57017
"3",302,"Genesee Brewing Co. / Dundee Brewing Co.",1272501844,3.5,3,4,"alkemy","Kölsch",3.5,2.5,"Dundee Kolsch Style Ale",5.7,57017
"4",302,"Genesee Brewing Co. / Dundee Brewing Co.",1271279026,3.5,4,4,"WesWes","Kölsch",4,3.5,"Dundee Kolsch Style Ale",5.7,57017
"5",302,"Genesee Brewing Co. / Dundee Brewing Co.",1271201894,3.5,4,3.5,"puboflyons","Kölsch",3,3.5,"Dundee Kolsch Style Ale",5.7,57017
"6",302,"Genesee Brewing Co. / Dundee Brewing Co.",1270001379,3.5,3.5,3.5,"nukem5","Kölsch",3,3.5,"Dundee Kolsch Style Ale",5.7,57017
"7",302,"Genesee Brewing Co. / Dundee Brewing Co.",1269833948,3.5,3,3,"Brad007","Kölsch",3,3,"Dundee Kolsch Style Ale",5.7,57017
"8",302,"Genesee Brewing Co. / Dundee Brewing Co.",1269558801,4,3.5,4,"buschbeer","Kölsch",4,3.5,"Dundee Kolsch Style Ale",5.7,57017
"9",302,"Genesee Brewing Co. / Dundee Brewing Co.",1304568989,5,4.5,4.5,"servo12","Kölsch",4.5,4.5,"Dundee Kolsch Style Ale",5.7,57017
"10",302,"Genesee Brewing Co. / Dundee Brewing Co.",1269379500,3.5,4,3.5,"jadpsu","Kölsch",4,4,"Dundee Kolsch Style Ale",5.7,57017
"11",302,"Genesee Brewing Co. / Dundee Brewing Co.",1325610362,3.5,3.5,3.5,"rfgetz","Kölsch",3.5,3.5,"Dundee Kolsch Style Ale",5.7,57017
"12",302,"Genesee Brewing Co. / Dundee Brewing Co.",1324707338,3.5,3.5,4,"SickGnar","Kölsch",3.5,3.5,"Dundee Kolsch Style Ale",5.7,57017
"13",302,"Genesee Brewing Co. / Dundee Brewing Co.",1319416912,3.5,3.5,3.5,"Tschnab","Kölsch",3.5,3.5,"Dundee Kolsch Style Ale",5.7,57017
"14",302,"Genesee Brewing Co. / Dundee Brewing Co.",1318058787,3.5,3.5,3.5,"chicagoabbot","Kölsch",4,3.5,"Dundee Kolsch Style Ale",5.7,57017
"15",302,"Genesee Brewing Co. / Dundee Brewing Co.",1317069522,3.5,3.5,3.5,"Haybeerman","Kölsch",3.5,3.5,"Dundee Kolsch Style Ale",5.7,57017
"16",302,"Genesee Brewing Co. / Dundee Brewing Co.",1316194581,3.5,3,3.5,"BeerBuggy","Kölsch",3.5,3.5,"Dundee Kolsch Style Ale",5.7,57017
